Estructura de almacenamiento (MW)

Hora,Turbinación bombeo,Consumo bombeo,Baterías,Consumo baterías
"2025-03-19 21:00","713","-777","5","0",
"2025-03-19 21:05","793","-775","2","0",
"2025-03-19 21:10","808","-775","1","0",
"2025-03-19 21:15","600","-777","1","0",
"2025-03-19 21:20","590","-777","1","0",
"2025-03-19 21:25","564","-777","1","0",
"2025-03-19 21:30","562","-777","1","0",
"2025-03-19 21:35","553","-776","1","0",
"2025-03-19 21:40","608","-776","1","0",
"2025-03-19 21:45","557","-777","0","0",
"2025-03-19 21:50","517","-777","0","-2",
"2025-03-19 21:55","512","-777","0","-2",
"2025-03-19 22:00","702","-776","2","0",
"2025-03-19 22:05","630","-774","2","0",
"2025-03-19 22:10","597","-869","0","0",
"2025-03-19 22:15","612","-869","0","0",
"2025-03-19 22:20","724","-957","0","0",
"2025-03-19 22:25","733","-959","0","0",
"2025-03-19 22:30","730","-958","0","0",
"2025-03-19 22:35","461","-956","0","0",
"2025-03-19 22:40","415","-984","0","-1",
"2025-03-19 22:45","301","-1196","0","-2",
"2025-03-19 22:50","320","-1193","0","0",
"2025-03-19 22:55","343","-1194","0","0",
"2025-03-19 23:00","257","-1193","0","-2",
"2025-03-19 23:05","203","-1193","0","-2",
"2025-03-19 23:10","90","-1192","2","0",
"2025-03-19 23:15","25","-1192","0","0",
"2025-03-19 23:20","25","-1399","2","0",
"2025-03-19 23:25","25","-1311","1","0",
"2025-03-19 23:30","25","-1310","1","0",
"2025-03-19 23:35","25","-1308","1","0",
"2025-03-19 23:40","25","-1312","0","0",
"2025-03-19 23:45","25","-1699","0","0",
"2025-03-19 23:50","25","-1697","0","-1",
"2025-03-19 23:55","25","-1828","0","-1",
"2025-03-20 00:00","25","-2007","0","0",
"2025-03-20 00:05","25","-1960","2","0",
"2025-03-20 00:10","26","-1972","1","0",
"2025-03-20 00:15","26","-1976","0","0",
"2025-03-20 00:20","25","-1973","0","-1",
"2025-03-20 00:25","5","-1982","0","0",
"2025-03-20 00:30","5","-1975","0","0",
"2025-03-20 00:35","5","-1970","0","0",
"2025-03-20 00:40","5","-1981","0","0",
"2025-03-20 00:45","5","-1980","0","0",
"2025-03-20 00:50","5","-1979","0","-1",
"2025-03-20 00:55","5","-1980","0","-1",
"2025-03-20 01:00","5","-2065","0","-1",
"2025-03-20 01:05","5","-2098","0","0",
"2025-03-20 01:10","5","-2206","0","0",
"2025-03-20 01:15","5","-2207","0","0",
"2025-03-20 01:20","5","-2204","0","0",
"2025-03-20 01:25","5","-2194","1","0",
